t,mem_available_gib,gtt_used_gib,vram_used_gib,rss_gib
0.00,107.06,0.02,0.16,0.00
0.25,106.98,0.02,0.16,0.17
0.50,106.26,0.60,0.16,0.31
0.75,106.71,0.16,0.16,0.31
1.00,106.56,76.39,0.16,0.28
1.25,100.75,76.39,0.16,0.28
1.50,94.95,76.39,0.16,0.28
1.75,89.28,76.39,0.16,0.28
2.01,83.84,76.39,0.16,0.28
2.26,78.38,76.39,0.16,0.28
2.51,72.94,76.39,0.16,0.28
2.76,67.49,76.39,0.16,0.28
3.01,62.04,76.39,0.16,0.28
3.26,56.59,76.39,0.16,0.28
3.51,51.14,76.39,0.16,0.28
3.76,45.69,76.39,0.16,0.28
4.01,40.25,76.39,0.16,0.28
4.26,34.80,76.39,0.16,0.28
4.51,30.21,76.39,0.16,0.28
4.76,29.52,76.39,0.16,0.96
5.01,29.52,76.39,0.16,0.96
5.26,29.51,76.39,0.16,0.96
5.51,29.51,76.39,0.16,0.96
5.77,29.27,76.39,0.16,0.96
6.02,28.70,76.39,0.16,0.96
6.27,28.36,76.39,0.16,0.97
6.52,28.05,76.39,0.16,0.97
6.77,28.30,76.39,0.16,0.98
7.02,27.96,76.39,0.16,0.98
7.27,27.90,76.39,0.16,0.98
7.52,27.92,76.39,0.16,0.98
7.77,27.76,76.39,0.16,0.98
8.02,27.82,76.39,0.16,0.99
8.27,27.93,76.39,0.16,0.99
8.52,27.79,76.39,0.16,0.99
8.77,27.67,76.39,0.16,0.99
9.02,28.11,76.39,0.16,1.00
9.27,28.08,76.39,0.16,1.00
9.52,28.15,76.39,0.16,1.00
9.77,27.96,76.39,0.16,1.00
10.03,28.40,76.39,0.16,1.01
10.28,28.52,76.39,0.16,1.02
10.53,28.08,76.39,0.16,1.02
10.78,28.19,76.39,0.16,1.02
11.03,28.09,76.39,0.16,1.02
11.28,27.88,76.39,0.16,1.02
11.53,27.59,76.39,0.16,1.03
11.78,28.06,76.39,0.16,1.03
12.03,27.86,76.39,0.16,1.03
12.28,28.32,76.39,0.16,1.03
12.53,28.09,76.39,0.16,1.04
12.78,28.27,76.39,0.16,1.04
13.03,27.71,76.39,0.16,1.04
13.28,28.26,76.39,0.16,1.04
13.53,28.35,76.39,0.16,1.05
13.78,28.11,76.39,0.16,1.05
14.03,27.86,76.39,0.16,1.05
14.28,27.53,76.39,0.16,1.05
14.53,28.38,76.39,0.16,1.05
14.78,28.23,76.39,0.16,1.06
15.04,28.17,76.39,0.16,1.06
15.29,27.83,76.39,0.16,1.06
15.54,27.73,76.39,0.16,1.06
15.79,27.62,76.39,0.16,1.07
16.04,27.86,76.39,0.16,1.07
16.29,28.29,76.39,0.16,1.07
16.54,27.85,76.39,0.16,1.09
16.79,27.62,76.39,0.16,1.09
17.04,27.50,76.39,0.16,1.09
