t,mem_available_gib,gtt_used_gib,vram_used_gib,rss_gib
0.00,107.00,0.02,0.16,0.00
0.25,106.89,0.02,0.16,0.18
0.50,106.63,0.16,0.16,0.27
0.75,106.63,0.16,0.16,0.28
1.00,104.00,76.39,0.16,0.28
1.25,98.14,76.39,0.16,0.28
1.50,92.30,76.39,0.16,0.28
1.75,86.45,76.39,0.16,0.28
2.01,80.74,76.39,0.16,0.28
2.26,75.12,76.39,0.16,0.28
2.51,69.51,76.39,0.16,0.28
2.76,63.85,76.39,0.16,0.28
3.01,58.16,76.39,0.16,0.28
3.26,52.45,76.39,0.16,0.28
3.51,46.72,76.39,0.16,0.28
3.76,41.00,76.39,0.16,0.28
4.01,35.48,76.39,0.16,0.28
4.26,30.27,76.39,0.16,0.28
4.51,29.56,76.39,0.16,0.96
4.76,29.17,76.39,0.16,0.96
5.01,29.47,76.39,0.16,0.96
5.26,29.07,76.39,0.16,0.96
5.52,29.10,76.39,0.16,0.97
5.77,28.94,76.39,0.16,0.97
6.02,28.66,76.39,0.16,0.97
6.27,28.24,76.39,0.16,0.98
6.52,28.37,76.39,0.16,0.98
6.77,28.69,76.39,0.16,0.98
7.02,28.35,76.39,0.16,0.98
7.27,28.30,76.39,0.16,0.99
7.52,27.89,76.39,0.16,0.99
7.77,28.19,76.39,0.16,0.99
8.02,28.58,76.39,0.16,0.99
8.27,28.38,76.39,0.16,1.00
8.52,27.94,76.39,0.16,1.00
8.77,28.28,76.39,0.16,1.00
9.02,27.81,76.39,0.16,1.00
9.27,27.83,76.39,0.16,1.00
9.53,27.39,76.39,0.16,1.01
9.78,27.80,76.39,0.16,1.02
10.03,27.91,76.39,0.16,1.02
10.28,27.83,76.39,0.16,1.02
10.53,27.76,76.39,0.16,1.02
10.78,27.92,76.39,0.16,1.03
11.03,28.01,76.39,0.16,1.03
11.28,27.88,76.39,0.16,1.03
11.53,28.07,76.39,0.16,1.03
11.78,27.92,76.39,0.16,1.03
12.03,28.00,76.39,0.16,1.04
12.28,27.95,76.39,0.16,1.04
12.53,27.84,76.39,0.16,1.04
12.78,27.71,76.39,0.16,1.04
13.03,28.04,76.39,0.16,1.04
13.28,27.87,76.39,0.16,1.05
13.54,28.13,76.39,0.16,1.05
13.79,28.01,76.39,0.16,1.05
14.04,27.93,76.39,0.16,1.05
14.29,27.65,76.39,0.16,1.06
14.54,27.62,76.39,0.16,1.06
14.79,27.69,76.39,0.16,1.06
15.04,28.16,76.39,0.16,1.06
15.29,28.20,76.39,0.16,1.06
15.54,27.84,76.39,0.16,1.07
15.79,27.86,76.39,0.16,1.07
16.04,27.69,76.39,0.16,1.07
16.29,27.56,76.39,0.16,1.09
16.54,27.31,76.39,0.16,1.09
16.79,27.46,76.39,0.16,1.09
17.04,27.21,76.39,0.16,1.10
17.29,27.27,76.39,0.16,1.10
17.54,27.53,76.39,0.16,1.10
17.79,28.03,76.39,0.16,1.10
18.04,27.71,76.39,0.16,1.11
18.30,27.82,76.39,0.16,1.11
18.55,27.60,76.39,0.16,1.11
18.80,28.10,76.39,0.16,1.11
19.05,27.95,76.39,0.16,1.12
19.30,27.79,76.39,0.16,1.12
19.55,27.40,76.39,0.16,1.12
19.80,27.70,76.39,0.16,1.12
20.05,27.83,76.39,0.16,1.12
20.30,28.01,76.39,0.16,1.13
20.55,28.01,76.39,0.16,1.12
20.80,26.24,78.65,0.16,1.25
21.05,26.12,78.66,0.16,1.42
21.30,23.78,80.75,0.17,1.79
21.55,23.45,80.75,0.17,1.79
21.80,23.10,80.75,0.17,1.79
22.05,22.79,81.54,0.17,1.85
22.30,22.70,81.54,0.17,2.08
22.55,22.70,81.54,0.17,2.08
22.81,22.70,81.54,0.17,2.08
23.06,22.70,81.54,0.17,2.08
23.31,22.67,81.54,0.17,2.08
23.56,22.54,81.54,0.17,2.08
23.81,22.55,81.54,0.17,2.08
24.06,22.51,81.54,0.17,2.16
24.31,22.35,81.58,0.17,2.43
24.56,22.09,81.61,0.17,2.56
24.81,22.09,81.61,0.17,2.57
25.06,22.03,81.62,0.17,2.71
25.31,21.97,81.63,0.17,2.76
25.57,21.91,81.63,0.17,2.82
25.82,21.92,81.63,0.17,2.82
26.07,21.92,81.63,0.17,2.82
26.32,21.90,81.63,0.17,2.82
26.57,21.90,81.63,0.17,2.82
26.82,21.91,81.63,0.17,2.82
27.07,21.91,81.63,0.17,2.82
27.32,21.91,81.63,0.17,2.82
27.57,21.92,81.63,0.17,2.82
27.82,21.93,81.63,0.17,2.82
28.07,21.93,81.63,0.17,2.82
28.32,21.93,81.63,0.17,2.83
28.57,21.93,81.63,0.17,2.83
28.83,21.94,81.63,0.17,2.83
29.08,21.94,81.63,0.17,2.83
29.33,21.95,81.63,0.17,2.83
29.58,21.95,81.63,0.17,2.83
29.83,21.96,81.63,0.17,2.83
30.08,21.96,81.63,0.17,2.83
30.33,21.96,81.63,0.17,2.83
30.58,21.96,81.63,0.17,2.83
30.83,21.97,81.63,0.17,2.83
31.08,21.97,81.63,0.17,2.83
31.33,21.98,81.63,0.17,2.83
31.58,21.98,81.63,0.17,2.83
31.83,21.99,81.63,0.17,2.83
32.09,21.99,81.63,0.17,2.83
32.34,21.99,81.63,0.17,2.83
32.59,22.00,81.63,0.17,2.83
32.84,22.00,81.63,0.17,2.83
33.09,22.00,81.63,0.17,2.83
33.34,22.01,81.63,0.17,2.83
33.59,22.01,81.63,0.17,2.84
33.84,22.02,81.63,0.17,2.84
34.09,22.02,81.63,0.17,2.84
34.34,22.02,81.63,0.17,2.84
34.59,22.02,81.63,0.17,2.84
34.84,22.03,81.63,0.17,2.84
35.09,22.03,81.63,0.17,2.84
35.35,22.04,81.63,0.17,2.84
35.60,22.04,81.63,0.17,2.84
35.85,22.05,81.63,0.17,2.84
36.10,22.05,81.63,0.17,2.84
36.35,22.05,81.63,0.17,2.84
36.60,22.05,81.63,0.17,2.84
36.85,22.06,81.63,0.17,2.84
37.10,22.06,81.63,0.17,2.84
37.35,22.06,81.63,0.17,2.84
37.60,22.06,81.63,0.17,2.84
37.85,22.08,81.63,0.17,2.84
38.10,21.84,81.64,0.17,2.96
38.35,21.72,81.64,0.17,3.07
38.60,21.73,81.64,0.17,3.07
38.86,21.74,81.64,0.17,3.07
39.11,21.74,81.64,0.17,3.08
39.36,21.73,81.65,0.17,3.08
39.61,21.74,81.65,0.17,3.08
39.86,21.76,81.65,0.17,3.08
40.11,21.76,81.65,0.17,3.08
40.36,21.76,81.64,0.17,3.08
40.61,21.76,81.64,0.17,3.08
40.86,21.77,81.64,0.17,3.08
41.11,21.77,81.64,0.17,3.08
41.36,21.78,81.64,0.17,3.08
41.61,21.78,81.64,0.17,3.08
41.86,21.79,81.64,0.17,3.08
42.12,21.79,81.64,0.17,3.08
42.37,21.79,81.64,0.17,3.08
42.62,21.79,81.64,0.17,3.08
42.87,21.80,81.64,0.17,3.08
43.12,21.80,81.64,0.17,3.08
43.37,21.79,81.65,0.17,3.08
