t,mem_available_gib,gtt_used_gib,vram_used_gib,rss_gib
0.00,107.10,0.02,0.16,0.00
0.25,106.99,0.02,0.16,0.17
0.50,106.71,0.16,0.16,0.27
0.75,106.71,0.16,0.16,0.28
1.00,100.74,76.39,0.16,0.28
1.25,95.09,76.39,0.16,0.28
1.50,89.66,76.39,0.16,0.28
1.75,84.21,76.39,0.16,0.28
2.00,78.77,76.39,0.16,0.28
2.26,73.32,76.39,0.16,0.28
2.51,67.89,76.39,0.16,0.28
2.76,62.44,76.39,0.16,0.28
3.01,56.99,76.39,0.16,0.28
3.26,51.57,76.39,0.16,0.28
3.51,46.19,76.39,0.16,0.28
3.76,40.79,76.39,0.16,0.28
4.01,35.47,76.39,0.16,0.28
4.26,30.32,76.39,0.16,0.28
4.51,29.61,76.39,0.18,0.95
4.76,29.19,76.39,0.18,0.96
5.01,29.60,76.39,0.18,0.96
5.26,29.55,76.39,0.18,0.96
5.51,29.08,76.39,0.18,0.96
5.76,28.85,76.39,0.18,0.96
6.02,28.69,76.39,0.18,0.97
6.27,28.51,76.39,0.18,0.97
6.52,29.23,76.39,0.18,0.97
6.77,28.84,76.39,0.18,0.98
7.02,28.63,76.39,0.18,0.98
7.27,28.37,76.39,0.18,0.98
7.52,28.25,76.39,0.18,0.98
7.77,28.27,76.39,0.18,0.99
8.02,29.24,76.39,0.18,0.99
8.27,28.94,76.39,0.18,0.99
8.52,28.82,76.39,0.18,0.99
8.77,28.74,76.39,0.18,0.99
9.02,28.32,76.39,0.18,1.00
9.27,29.31,76.39,0.18,1.00
9.52,28.70,76.39,0.18,1.00
9.77,28.77,76.39,0.18,1.01
10.02,28.75,76.39,0.18,1.01
10.27,29.59,76.39,0.18,1.02
10.53,28.96,76.39,0.18,1.02
10.78,28.87,76.39,0.18,1.02
11.03,28.63,76.39,0.18,1.02
11.28,28.24,76.39,0.18,1.03
11.53,28.01,76.39,0.18,1.03
11.78,27.93,76.39,0.18,1.03
12.03,28.01,76.39,0.18,1.03
12.28,28.57,76.39,0.18,1.03
12.53,28.41,76.39,0.18,1.04
12.78,28.26,76.39,0.18,1.04
13.03,28.34,76.39,0.18,1.04
13.28,28.40,76.39,0.18,1.04
13.53,28.23,76.39,0.18,1.05
13.78,28.47,76.39,0.18,1.05
14.03,28.10,76.39,0.18,1.05
14.28,28.15,76.39,0.18,1.05
14.53,27.99,76.39,0.18,1.06
14.79,28.29,76.39,0.18,1.06
15.04,28.17,76.39,0.18,1.06
15.29,28.02,76.39,0.18,1.06
15.54,28.24,76.39,0.18,1.06
15.79,27.81,76.39,0.18,1.07
16.04,28.07,76.39,0.18,1.07
16.29,28.02,76.39,0.18,1.09
16.54,27.90,76.39,0.18,1.09
